epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,82.0199,0.47729,0.85571,1,0.29302,0.00328205,0.00328205,0.00328205
2,162.096,0.26251,0.89109,1,0.22192,0.00660229,0.00660229,0.00660229
3,242.88,0.20576,0.89837,1,0.20825,0.00990932,0.00990932,0.00990932
4,324.696,0.16696,0.92723,1,0.15503,0.0099406,0.0099406,0.0099406
5,406.677,0.13504,0.94504,1,0.12927,0.0099208,0.0099208,0.0099208
6,487.279,0.1076,0.93902,1,0.14888,0.009901,0.009901,0.009901
7,568.863,0.09533,0.96136,1,0.0963,0.0098812,0.0098812,0.0098812
8,649.51,0.08069,0.95659,1,0.10803,0.0098614,0.0098614,0.0098614
9,730.272,0.06914,0.96587,1,0.0841,0.0098416,0.0098416,0.0098416
10,810.614,0.0632,0.96637,1,0.08071,0.0098218,0.0098218,0.0098218
11,891.047,0.06274,0.9744,1,0.0625,0.009802,0.009802,0.009802
12,971.58,0.05661,0.97591,1,0.07055,0.0097822,0.0097822,0.0097822
13,1052.69,0.05209,0.9729,1,0.06987,0.0097624,0.0097624,0.0097624
14,1133.64,0.0493,0.95408,1,0.11195,0.0097426,0.0097426,0.0097426
15,1213.08,0.04325,0.96913,1,0.08043,0.0097228,0.0097228,0.0097228
16,1293.79,0.04802,0.97742,1,0.06497,0.009703,0.009703,0.009703
17,1374.82,0.04704,0.97691,1,0.05995,0.0096832,0.0096832,0.0096832
18,1455.24,0.04398,0.96863,1,0.08226,0.0096634,0.0096634,0.0096634
19,1536.26,0.04379,0.97014,1,0.07878,0.0096436,0.0096436,0.0096436
20,1617.51,0.04736,0.97716,1,0.07141,0.0096238,0.0096238,0.0096238
21,1699.55,0.04403,0.97516,1,0.06699,0.009604,0.009604,0.009604
22,1780.43,0.04524,0.97491,1,0.06518,0.0095842,0.0095842,0.0095842
23,1862.26,0.04394,0.97616,1,0.05882,0.0095644,0.0095644,0.0095644
24,1942.3,0.04324,0.91292,1,0.22,0.0095446,0.0095446,0.0095446
