epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.552,0.89747,1.64557,1.04239,0.87694,0.90087,0.94051,0.74144,0.7389,0.78071,0.9124,0.0033269,0.0033269,0.0033269
2,291.058,0.8929,0.84294,1.00594,0.79257,0.70281,0.79136,0.53564,1.07946,1.03161,1.07819,0.00664704,0.00664704,0.00664704
3,419.296,0.99308,0.7869,1.05287,0.64891,0.46736,0.5781,0.33233,1.36763,2.87773,1.34939,0.00995399,0.00995399,0.00995399
4,548.746,1.0008,0.75354,1.06792,0.75278,0.76184,0.80648,0.59414,0.9779,1.00592,1.0772,0.0099406,0.0099406,0.0099406
5,678.813,0.9276,0.66873,1.04248,0.90015,0.88583,0.9541,0.75338,0.77217,0.56861,0.9526,0.0099208,0.0099208,0.0099208
6,805.247,0.88608,0.62212,1.02562,0.91739,0.91355,0.96728,0.78049,0.71688,0.49434,0.92293,0.009901,0.009901,0.009901
7,934.86,0.8528,0.58585,1.0115,0.92056,0.93269,0.97016,0.80762,0.67067,0.44556,0.90808,0.0098812,0.0098812,0.0098812
8,1088.48,0.82968,0.56007,1.0039,0.9386,0.94236,0.98056,0.81983,0.64377,0.40753,0.88933,0.0098614,0.0098614,0.0098614
9,1233.71,0.81587,0.54474,0.99942,0.92793,0.94554,0.97877,0.82505,0.63439,0.40459,0.89144,0.0098416,0.0098416,0.0098416
10,1410.6,0.80122,0.52394,0.99585,0.93704,0.95014,0.97987,0.8324,0.61963,0.39042,0.89156,0.0098218,0.0098218,0.0098218
11,1587.72,0.78598,0.51345,0.98736,0.94545,0.94484,0.98536,0.85202,0.59399,0.36035,0.87581,0.009802,0.009802,0.009802
12,1758.75,0.77516,0.50115,0.9834,0.95702,0.95906,0.98873,0.85279,0.58983,0.33595,0.8784,0.0097822,0.0097822,0.0097822
13,1912.94,0.76765,0.49248,0.98285,0.96573,0.95838,0.98714,0.85659,0.57791,0.33363,0.87179,0.0097624,0.0097624,0.0097624
14,2051.23,0.76338,0.48535,0.98056,0.96581,0.95936,0.98838,0.86178,0.56917,0.31832,0.8721,0.0097426,0.0097426,0.0097426
15,2179.81,0.75387,0.47895,0.97779,0.96033,0.96643,0.98896,0.86717,0.55665,0.31201,0.86101,0.0097228,0.0097228,0.0097228
16,2308.04,0.75047,0.47297,0.9738,0.97562,0.96322,0.99022,0.87171,0.55245,0.29674,0.86153,0.009703,0.009703,0.009703
17,2438.17,0.74511,0.46555,0.97162,0.97646,0.96528,0.99113,0.87731,0.53995,0.28338,0.85766,0.0096832,0.0096832,0.0096832
18,2566.42,0.73902,0.45949,0.9722,0.97397,0.96361,0.9908,0.87765,0.53765,0.28653,0.85893,0.0096634,0.0096634,0.0096634
19,2696.78,0.73628,0.45755,0.97072,0.96617,0.97949,0.99121,0.88237,0.53477,0.27972,0.85735,0.0096436,0.0096436,0.0096436
20,2826.23,0.73424,0.44977,0.96498,0.97318,0.97281,0.99025,0.88145,0.52961,0.27361,0.85218,0.0096238,0.0096238,0.0096238
21,2955.93,0.72605,0.44642,0.96582,0.97394,0.97746,0.99197,0.88426,0.52586,0.26747,0.85217,0.009604,0.009604,0.009604
22,3085.45,0.72732,0.44457,0.96394,0.97718,0.97075,0.99099,0.88428,0.52212,0.26454,0.8504,0.0095842,0.0095842,0.0095842
23,3214.53,0.71691,0.43785,0.96472,0.97995,0.97275,0.99112,0.88523,0.52184,0.26233,0.85236,0.0095644,0.0095644,0.0095644
24,3343.05,0.71675,0.4376,0.96526,0.97828,0.97533,0.99123,0.886,0.51655,0.26059,0.85191,0.0095446,0.0095446,0.0095446
25,3472.42,0.71242,0.43348,0.96023,0.97596,0.97768,0.99203,0.88823,0.51499,0.25409,0.84959,0.0095248,0.0095248,0.0095248
26,3601.26,0.71183,0.42913,0.95991,0.9771,0.98039,0.99204,0.8893,0.51355,0.25224,0.84862,0.009505,0.009505,0.009505
27,3729.69,0.71109,0.42921,0.96134,0.97826,0.97869,0.99213,0.89023,0.51243,0.25069,0.84805,0.0094852,0.0094852,0.0094852
28,3859.93,0.7111,0.42734,0.96159,0.97929,0.97981,0.99218,0.89356,0.51012,0.24984,0.84792,0.0094654,0.0094654,0.0094654
29,3988.14,0.70718,0.4225,0.96143,0.98019,0.97987,0.99195,0.89398,0.50863,0.24696,0.84733,0.0094456,0.0094456,0.0094456
